"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U4","1","STUSB4710AQ1TR","","","","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm","https://eu.mouser.com/datasheet/2/389/stusb4710-1852079.pdf"
"U3","1","STM32G030F6Px","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.st.com/resource/en/datasheet/stm32g030f6.pdf"
"U2","1","TPS56837HRPAR","","","","footprints:TPS56A37RPAR","https://www.ti.com/lit/ds/symlink/tps56837h.pdf?ts=1746769281785&ref_url=https%253A%252F%252Feu.mouser.com%252F"
"U1","1","TPS560430X3FDBVR","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/tps560430.pdf?ts=1747035398395&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS560430"
"R18","1","2k2","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R15","1","820R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1","1.95k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R10","1","570R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R9","1","340R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R8","1","310R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7","1","930R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6","1","30k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5,R12,R13","3","1k7","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4,R14","2","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3","1","22.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2","1","51k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R1,R16,R17","3","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q1,Q2,Q3","3","DMP3013SFV-7","","","","Package_SON:Diodes_PowerDI3333-8","https://eu.mouser.com/datasheet/2/115/DIOD_S_A0008513542_1-2543083.pdf"
"NT1","1","NetTie_2","","Excluded from BOM","","NetTie:NetTie-2_SMD_Pad0.5mm","~"
"L2","1","4.7u","","","","footprints:INDPM112100X400N","https://eu.mouser.com/datasheet/2/210/WLPMA0A040LC_Series-1670480.pdf"
"L1","1","12u","","","","footprints:SRR0735A120M","https://eu.mouser.com/datasheet/2/54/SRR0735A-1391425.pdf"
"J4","1","USB4151-GF-C","","","","footprints:USB4151GFC","https://eu.mouser.com/datasheet/2/837/GCT_USB4151-3240033.pdf"
"J3","1","Serial Wire","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J2","1","Lab_supply","","","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal","~"
"J1","1","Barrel_Jack","","","","footprints:PJ106AHTR","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"C18,C19,C20","3","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C10,C11,C12,C13","4","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C7,C14,C15,C16,C17","5","22u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C5","1","22n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4,C6,C8","3","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2,C3,C9","3","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C1","1","2.2u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
